date,locationID,InAsMeas,InAsVal,year,month,lat,lon,state
6/4/12,OREGONDEQ-10684-ORDEQ,Total,0.46,2012,6,43.93054866,-121.4115783,41
10/23/12,OREGONDEQ-10684-ORDEQ,Total,0.6,2012,10,43.93054866,-121.4115783,41
5/15/12,OREGONDEQ-13138-ORDEQ,Total,0.04,2012,5,45.57040173,-121.6158379,41
11/27/12,OREGONDEQ-13138-ORDEQ,Total,0.05,2012,11,45.57040173,-121.6158379,41
11/27/12,OREGONDEQ-13138-ORDEQ,Total,0.04,2012,11,45.57040173,-121.6158379,41
10/9/12,OREGONDEQ-11016-ORDEQ,Total,0.5,2012,10,44.4749612,-119.5418595,41
11/26/12,OREGONDEQ-26419-ORDEQ,Total,0.05,2012,11,45.30354533,-121.8703666,41
5/15/12,OREGONDEQ-13253-ORDEQ,Total,0.1,2012,5,45.64359807,-121.5441517,41
11/27/12,OREGONDEQ-13253-ORDEQ,Total,0.12,2012,11,45.64359807,-121.5441517,41
11/26/12,OREGONDEQ-10674-ORDEQ,Total,0.06,2012,11,45.53853195,-122.3768415,41
6/4/12,OREGONDEQ-36776-ORDEQ,Total,1.85,2012,6,44.80129767,-121.065976,41
10/22/12,OREGONDEQ-36776-ORDEQ,Total,2.5,2012,10,44.80129767,-121.065976,41
10/9/12,OREGONDEQ-37135-ORDEQ,Total,0.78,2012,10,44.9753666,-118.7279857,41
10/22/12,OREGONDEQ-33939-ORDEQ,Total,1.1,2012,10,44.80865293,-121.0540072,41
4/27/16,OREGONDEQ-10708-ORDEQ,Total,1.87,2016,4,45.7400366,-120.0256895,41
4/27/16,OREGONDEQ-10708-ORDEQ,Total,1.97,2016,4,45.7400366,-120.0256895,41
8/5/15,OREGONDEQ-10708-ORDEQ,Total,1.69,2015,8,45.7400366,-120.0256895,41
4/8/15,OREGONDEQ-10708-ORDEQ,Total,1.47,2015,4,45.7400366,-120.0256895,41
12/9/15,OREGONDEQ-10708-ORDEQ,Total,2.42,2015,12,45.7400366,-120.0256895,41
12/3/14,OREGONDEQ-10708-ORDEQ,Total,1.86,2014,12,45.7400366,-120.0256895,41
5/13/15,OREGONDEQ-10764-ORDEQ,Total,4.09,2015,5,42.08938322,-122.0720192,41
1/28/15,OREGONDEQ-10764-ORDEQ,Total,2.36,2015,1,42.08938322,-122.0720192,41
9/2/15,OREGONDEQ-10764-ORDEQ,Total,4.14,2015,9,42.08938322,-122.0720192,41
9/17/14,OREGONDEQ-10764-ORDEQ,Total,5.38,2014,9,42.08938322,-122.0720192,41
4/30/15,OREGONDEQ-11201-ORDEQ,Total,0.843,2015,4,45.61069632,-122.7546895,41
8/20/15,OREGONDEQ-11201-ORDEQ,Total,1.88,2015,8,45.61069632,-122.7546895,41
8/21/14,OREGONDEQ-11201-ORDEQ,Total,1.55,2014,8,45.61069632,-122.7546895,41
7/13/15,OREGONDEQ-10451-ORDEQ,Total,0.86,2015,7,43.27157828,-123.4107336,41
11/16/15,OREGONDEQ-10451-ORDEQ,Total,1.06,2015,11,43.27157828,-123.4107336,41
7/14/14,OREGONDEQ-10451-ORDEQ,Total,1.11,2014,7,43.27157828,-123.4107336,41
10/22/15,OREGONDEQ-10480-ORDEQ,Total,1.89,2015,10,45.52086352,-122.9000204,41
2/18/15,OREGONDEQ-10480-ORDEQ,Total,0.936,2015,2,45.52086352,-122.9000204,41
9/23/15,OREGONDEQ-10741-ORDEQ,Total,0.994,2015,9,42.41902971,-119.9051597,41
5/20/15,OREGONDEQ-10741-ORDEQ,Total,0.44,2015,5,42.41902971,-119.9051597,41
9/24/14,OREGONDEQ-10741-ORDEQ,Total,1.65,2014,9,42.41902971,-119.9051597,41
4/21/15,OREGONDEQ-11490-ORDEQ,Total,2.27,2015,4,44.78181642,-117.8276589,41
12/1/15,OREGONDEQ-11490-ORDEQ,Total,3.43,2015,12,44.78181642,-117.8276589,41
8/11/15,OREGONDEQ-11490-ORDEQ,Total,5.89,2015,8,44.78181642,-117.8276589,41
12/9/14,OREGONDEQ-11490-ORDEQ,Total,2.71,2014,12,44.78181642,-117.8276589,41
8/12/14,OREGONDEQ-11490-ORDEQ,Total,4.15,2014,8,44.78181642,-117.8276589,41
5/20/15,OREGONDEQ-12266-ORDEQ,Total,0.6,2015,5,42.17511173,-119.8515755,41
10/28/15,OREGONDEQ-12266-ORDEQ,Total,0.615,2015,10,42.17511173,-119.8515755,41
9/23/15,OREGONDEQ-12266-ORDEQ,Total,0.9,2015,9,42.17511173,-119.8515755,41
9/24/14,OREGONDEQ-12266-ORDEQ,Total,1.07,2014,9,42.17511173,-119.8515755,41
4/20/15,OREGONDEQ-11489-ORDEQ,Total,0.564,2015,4,45.83561316,-119.3329256,41
8/10/15,OREGONDEQ-11489-ORDEQ,Total,1.12,2015,8,45.83561316,-119.3329256,41
8/11/14,OREGONDEQ-11489-ORDEQ,Total,1.19,2014,8,45.83561316,-119.3329256,41
