ActivityStartDate,MonitoringLocationIdentifier,ResultMeasureValue,ResultMeasure/MeasureUnitCode
1973-08-18,USGS-01575990,Total,
1972-09-22,USGS-01470982,Total,37
1972-09-22,USGS-01464743,Total,
1972-01-30,USGS-01470982,Total,20
1972-09-12,USGS-01555205,Total,0.0
1972-09-12,USGS-01555210,Total,0.0
1972-09-13,USGS-01555252,Total,0.0
2016-04-27,OREGONDEQ-10708-ORDEQ,Total,1.87
2016-04-27,OREGONDEQ-10708-ORDEQ,Total,1.97
2015-08-13,OREGONDEQ-31990-ORDEQ,Total,1.19
2015-05-13,OREGONDEQ-10764-ORDEQ,Total,4.09
2015-04-30,OREGONDEQ-11201-ORDEQ,Total,0.843
2015-07-13,OREGONDEQ-10451-ORDEQ,Total,0.86
2015-10-22,OREGONDEQ-10480-ORDEQ,Total,1.89
2015-09-23,OREGONDEQ-10741-ORDEQ,Total,0.994
2015-08-05,OREGONDEQ-10708-ORDEQ,Total,1.69
2015-04-21,OREGONDEQ-11490-ORDEQ,Total,2.27
2015-05-20,OREGONDEQ-12266-ORDEQ,Total,0.6
2015-04-20,OREGONDEQ-11489-ORDEQ,Total,0.564
2015-01-06,OREGONDEQ-12261-ORDEQ,Total,0.707
2015-05-11,OREGONDEQ-11477-ORDEQ,Total,0.61
2015-10-28,OREGONDEQ-12266-ORDEQ,Total,0.615
2015-12-09,OREGONDEQ-10411-ORDEQ,Total,0.962
2015-05-12,OREGONDEQ-10759-ORDEQ,Total,3.87
2015-08-13,OREGONDEQ-11017-ORDEQ,Total,0.688
2015-10-15,OREGONDEQ-14008-ORDEQ,Total,2.55
2015-09-22,OREGONDEQ-12264-ORDEQ,Total,1.72
2015-01-28,OREGONDEQ-10764-ORDEQ,Total,2.36
2015-02-18,OREGONDEQ-10480-ORDEQ,Total,0.936
2015-07-13,OREGONDEQ-10443-ORDEQ,Total,0.47
2015-02-18,OREGONDEQ-10469-ORDEQ,Total,0.632
2015-08-31,OREGONDEQ-11477-ORDEQ,Total,0.548
2015-05-19,OREGONDEQ-12261-ORDEQ,Total,0.95
2015-01-06,OREGONDEQ-10730-ORDEQ,Total,4.16
2015-12-01,OREGONDEQ-11490-ORDEQ,Total,3.43
2015-08-11,OREGONDEQ-10724-ORDEQ,Total,2.95
2015-08-13,OREGONDEQ-11479-ORDEQ,Total,0.602
2015-01-28,OREGONDEQ-10602-ORDEQ,Total,1.27
2015-05-13,OREGONDEQ-10765-ORDEQ,Total,4.39
2015-01-26,OREGONDEQ-10506-ORDEQ,Total,1.26
2015-05-13,OREGONDEQ-10763-ORDEQ,Total,31.9
2015-01-28,OREGONDEQ-10765-ORDEQ,Total,2.24
2015-09-23,OREGONDEQ-12266-ORDEQ,Total,0.9
2015-09-02,OREGONDEQ-10764-ORDEQ,Total,4.14
2015-08-12,OREGONDEQ-11494-ORDEQ,Total,5.92
2015-12-02,OREGONDEQ-10728-ORDEQ,Total,39.9
2015-05-12,OREGONDEQ-10770-ORDEQ,Total,1.38
2015-08-13,OREGONDEQ-11386-ORDEQ,Total,0.582
2015-05-20,OREGONDEQ-10741-ORDEQ,Total,0.44
2015-04-08,OREGONDEQ-10708-ORDEQ,Total,1.47
2015-10-26,OREGONDEQ-12261-ORDEQ,Total,2.07
2015-08-31,OREGONDEQ-10506-ORDEQ,Total,1.17
2015-12-02,OREGONDEQ-11494-ORDEQ,Total,3.04
2015-05-13,OREGONDEQ-10602-ORDEQ,Total,1.43
2015-07-15,OREGONDEQ-10393-ORDEQ,Total,0.3
2015-12-02,OREGONDEQ-10407-ORDEQ,Total,32.9
2015-07-13,OREGONDEQ-10442-ORDEQ,Total,0.63
2015-08-13,OREGONDEQ-11478-ORDEQ,Total,0.736
2015-08-11,OREGONDEQ-11490-ORDEQ,Total,5.89
2015-08-20,OREGONDEQ-11201-ORDEQ,Total,1.88
2015-09-01,OREGONDEQ-10768-ORDEQ,Total,9.17
2015-09-02,OREGONDEQ-11051-ORDEQ,Total,1.56
2015-11-16,OREGONDEQ-10451-ORDEQ,Total,1.06
2015-10-14,OREGONDEQ-10917-ORDEQ,Total,0.905
2015-01-26,OREGONDEQ-10517-ORDEQ,Total,0.9
2015-05-11,OREGONDEQ-10517-ORDEQ,Total,1.11
2015-08-12,OREGONDEQ-11480-ORDEQ,Total,41.4
2015-06-22,OREGONDEQ-13070-ORDEQ,Total,1.25
2015-12-09,OREGONDEQ-10708-ORDEQ,Total,2.42
